pair,token0,token1
0xdab143548832194c8f2677eba9830e0b453b37c6,0x667102bd3413bfeaa3dffb48fa8288819e480a88,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x180efc1349a69390ade25667487a826164c9c6e4,0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xcc6f7439147338e0401a76db978d7d0ca6e5bfee,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd6203889c22d9fe5e938a9200f50fdffe9dd8e02
0x2aeee741fa1e21120a21e57db9ee545428e683c9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc56c7a0eaa804f854b536a5f3d5f49d2ec4b12b8
0x6c3de40561e6f760dc9422403eb72b67a5d20ea8,0x1c95519d3fc922fc04fcf5d099be4a1ed8b15240,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xc0d776e2223c9a2ad13433dab7ec08cb9c5e76ae,0x06450dee7fd2fb8e39061434babcfc05599a6fb8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x5d6b5238809077ab58744ec30401fc142dfb9e73,0x43c5034469bce262d32f64c5e7f9f359f5b1495f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x2621cc0b3f3c079c1db0e80794aa24976f0b9e3c,0x56072c95faa701256059aa122697b133aded9279,0xdc035d45d973e3ec169d2276ddab16f1e407384f
0x7527bb40203df5e3d96713f1e0a5d7a8c9d367d4,0x8bbf486a9f2b535c4ef09c665a807859cfe92d83,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0c722a487876989af8a05fffb6e32e45cc23fb3a,0x77777feddddffc19ff86db637967013e6c6a116c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x98c42d47406272a00fb80ba2414f34647da52a4b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xfdc005c0cbe409c92651b7022e366c10220a0c1e
